Contam,FrogID,GloveType,DeconType,DeconStatus,GloveBdZooEq,GloveLnBdLoad,FrogLnBdLoad,BdPositive
No,ControlC1,Cotton,,,0,0,,0
No,ControlC2,Cotton,,,0,0,,0
No,ControlN3,Nitrile,,,0,0,,0
No,ControlN1,Nitrile,,,0,0,,0
No,ControlN2,Nitrile,,,0,0,,0
No,ControlC3,Cotton,,,0,0,,0
Yes,13A,Cotton,Bleach,After,0,0,,0
Yes,13A,Cotton,Bleach,Before,1312.007594,7.180075658,9.297563075,1
Yes,13A,Nitrile,Bleach,After,0,0,,0
Yes,13A,Nitrile,Bleach,Before,97.14809341,4.586477495,,1
Yes,14A,Cotton,Ethanol,After,0,0,,0
Yes,14A,Nitrile,Ethanol,After,0,0,,0
Yes,14A,Nitrile,Ethanol,Before,0.142747571,0.133435512,,1
Yes,15A,Cotton,Bleach,After,0,0,,0
Yes,15A,Cotton,Bleach,Before,446.5612713,6.103813447,7.271651143,1
Yes,15A,Nitrile,Bleach,After,0,0,,0
Yes,15A,Nitrile,Bleach,Before,0,0,,0
Yes,16A,Cotton,Ethanol,After,0,0,,0
Yes,16A,Cotton,Ethanol,Before,646.9076764,6.473748212,7.693390059,1
Yes,16A,Nitrile,Ethanol,After,0,0,,0
Yes,16A,Nitrile,Ethanol,Before,0,0,,0
Yes,17A,Cotton,Bleach,After,0,0,,0
Yes,17A,Cotton,Bleach,Before,336.7993037,5.822451943,10.02726931,1
Yes,17A,Nitrile,Bleach,After,0,0,,0
Yes,17A,Nitrile,Bleach,Before,0,0,,0
Yes,18A,Cotton,Ethanol,After,0,0,,0
Yes,18A,Cotton,Ethanol,Before,487.4349836,6.191206369,8.537623472,1
Yes,18A,Nitrile,Ethanol,After,0,0,,0
Yes,18A,Nitrile,Ethanol,Before,4.262424049,1.660591766,,1
Yes,19A,Cotton,Bleach,After,0,0,,0
Yes,19A,Cotton,Bleach,Before,0,0,4.515084177,0
Yes,19A,Nitrile,Bleach,After,0,0,,0
Yes,19A,Nitrile,Bleach,Before,0,0,,0
Yes,20A,Cotton,Ethanol,After,0,0,,0
Yes,20A,Cotton,Ethanol,Before,3044.271375,8.021345298,9.072481078,1
Yes,20A,Nitrile,Ethanol,After,0,0,,0
Yes,20A,Nitrile,Ethanol,Before,0,0,,0
Yes,21A,Cotton,Bleach,After,0,0,,0
Yes,21A,Cotton,Bleach,Before,293.4896611,5.685243896,11.18815801,1
Yes,21A,Nitrile,Bleach,After,0.569983427,0.451065063,,1
Yes,21A,Nitrile,Bleach,Before,0,0,,0
Yes,22A,Cotton,Ethanol,After,0,0,,0
Yes,22A,Cotton,Ethanol,Before,0,0,7.974135067,0
Yes,22A,Nitrile,Ethanol,After,0,0,,0
Yes,23A,Cotton,Bleach,After,0,0,,0
Yes,23A,Cotton,Bleach,Before,34.04134399,3.556528621,9.522294301,1
Yes,23A,Nitrile,Bleach,After,0,0,,0
Yes,24A,Cotton,Ethanol,After,0,0,,0
Yes,24A,Cotton,Ethanol,Before,2075.989298,7.638674671,8.054763672,1
Yes,24A,Nitrile,Ethanol,After,0,0,,0
Yes,24A,Nitrile,Ethanol,Before,0,0,,0
